Alphabet,Avg_Pitch_Hz,Min_Pitch,Max_Pitch,Duration_s
A,257.99338486546355,222.16463284298462,298.2721271452642,5.355102040816327
Aaa,216.0384204747414,156.18932288022097,300.0,8.385306122448979
angg,253.05620570561032,234.01956780401204,288.11188351530126,7.262040816326531
e,292.42305988083683,270.3751387832491,300.0,6.713469387755102
Ea,0.0,0.0,0.0,6.217142857142857
Eaa,221.05698371178508,124.68568442141816,293.1479905302738,6.556734693877551
eee,207.43297952505324,150.0,296.55420610586884,6.556734693877551
hahaa,0.0,0.0,0.0,6.948571428571428
O,265.7693776623955,232.6717142750602,294.84617956357533,6.791836734693877
Oo,240.62521977092976,201.38587541703953,300.0,6.452244897959184
rii,243.88818712210664,207.2869319951664,300.0,6.295510204081633
u,207.66723060943588,171.31235089661573,289.78089867745365,6.791836734693877
Uuu,218.27895802502152,151.74291604528838,293.1479905302738,7.418775510204082
A,257.954367464,222.16463284298462,298.2721271452642,5.355102040816327
Aaa,216.024346511093,156.18932288022097,300.0,8.385306122448979
angg,253.05620570561032,234.01956780401204,288.11188351530126,7.262040816326531
e,292.42305988083683,270.3751387832491,300.0,6.713469387755102
Ea,0.0,0.0,0.0,6.217142857142857
Eaa,221.05698371178508,124.68568442141816,293.1479905302738,6.556734693877551
eee,207.43297952505324,150.0,296.55420610586884,6.556734693877551
hahaa,0.0,0.0,0.0,6.948571428571428
O,265.7693776623955,232.6717142750602,294.84617956357533,6.791836734693877
Oo,240.62521977092976,201.38587541703953,300.0,6.452244897959184
rii,243.88818712210664,207.2869319951664,300.0,6.295510204081633
u,207.66723060943588,171.31235089661573,289.78089867745365,6.791836734693877
Uuu,218.27895802502152,151.74291604528838,293.1479905302738,7.418775510204082
